diapolo	2948
laanwj	2599
sipa	2173
gavinandresen	1642
bitcoinpulltester	1313
jgarzik	1196
luke-jr	1172
thebluematt	912
gmaxwell	827
rebroad	335
petertodd	251
jonasschnelli	228
mikehearn	200
dooglus	195
wtogami	161
fanquake	125
theuni	109
alexwaters	104
sje397	85
tcatm	82
codeshark	78
schildbach	78
xanatos	60
super3	59
jrmithdobbs	51
mikegogulski	50
cozz	49
burger2	48
muggenhor	47
sergiodemianlerner	46
runeksvendsen	42
qubez	36
brandondahler	35
paraipan	35
michagogo	34
graingert	33
krellan	33
l2g	33
lohoris	33
robbak	33
davout	32
jaromil	32
freewil	31
sgimenez	29
rofl0r	27
colindean	26
forrestv	26
grarpamp	25
gruez	25
rdponticelli	25
vinniefalco	25
jhyslop	24
cardpuncher	23
dennis97519	23
nanotube	23
ghost	22
dscotese	21
joelkatz	21
groffer	20
coderrr	19
pstratem	19
suffice	19
thepiachu	19
cafxx	18
enmaku	18
goldbit89	18
krishkm	18
kyledrake	18
mndrix	18
cdecker	17
codler	17
dertin	17
enasq	17
roconnor	17
roques	17
bitcoinuser	16
cdhowie	16
osmosis79	16
toffoo	16
yellowcoin	16
finway-china	15
genjix	15
imton	15
belkaar	14
coblee	14
kuzetsa	14
stemby	14
63	13
agravier	13
azulan	13
jojkaart	13
kjj2	13
maaku	13
molecular	13
od1n	13
olea	13
sgornick	13
shadders	13
substrata	13
wizeman	13
ashleyholman	12
casascius	12
drak	12
johndillon	12
jonls	12
memetica	12
witten	12
cjdelisle	11
khalahan	11
mezrin	11
alexgenaud	10
aperson241	10
bugandnewsreporter	10
dmgores	10
eldentyrell	10
interfect	10
jayschwa	10
jmack	10
jordanlewis	10
lano1106	10
nerzahd	10
paraboul	10
phelixbtc	10
slothbag	10
stevebell	10
xenland	10
acadian	9
darkhosis	9
definit	9
dholbert	9
joric	9
keystrike	9
msva	9
nemysis	9
pszturmaj	9
rkfg	9
thiloplanz	9
vort	9
vsespb	9
alexanderkjeldaas	8
ancow	8
bluemeanie	8
bytecoin	8
crinklebine	8
devrandom	8
edam	8
enelar	8
grimd34th	8
iongchun	8
justmoon	8
m4v3r	8
matoking	8
midnightmagic	8
n1bor	8
nycbrit	8
r000n	8
robzrob	8
sarchar	8
simonvrouwe	8
tril0byte	8
turkeyman	8
vasisualiy	8
da2ce7	7
ehvedadooanonimato	7
ericj2190	7
falinatecas	7
gasteve	7
hardcore-fs	7
javgh	7
kaosmcrage	7
kerzane	7
mb300sd	7
mgiuca	7
mhredmond21	7
mibe	7
p2k	7
pentarh	7
pixelglow	7
rricci2009	7
samholmes	7
sgaltsev	7
shamoons	7
sneak	7
strk	7
stuhood	7
weex	7
wysenynja	7
xblitz	7
xhire	7
zenitur	7
andrasfuchs	6
apetersson	6
bitcoinstarter	6
canercandan	6
collapsedev	6
continuumq	6
cpunks	6
doublec	6
dvdkhlng	6
fcicq	6
flowdalic	6
fredan	6
hjfreyer	6
jeremysawicki	6
jevonx	6
jondoh	6
k1773r	6
lachesis	6
mcandre	6
mcassano	6
mysticsam	6
nothing4you	6
oblongmeteor	6
parttimelegend	6
ripper234	6
tucenaber	6
vladgiurgiubv	6
007pig	5
94m3k1n9	5
al42and	5
allthingsbitcoin	5
anarcat	5
awishformore	5
bitsofproof	5
davispuh	5
denis2342	5
dentldir	5
dishwara	5
dlitz	5
drizzt	5
dsattler	5
efiniti	5
fourthdr	5
glitch003	5
jeffmendoza	5
jimholt03	5
jine	5
joukehofman	5
mathcampbell	5
menirosenfeld	5
narufgt	5
old-c-coder	5
ovidiusoft	5
p308945	5
pascalbokbok	5
phantomcircuit	5
plaidxx	5
prusnak	5
rav3npl	5
richardassar	5
silvioq	5
simondlr	5
someoneweird	5
srs96	5
subo1978	5
themighty1	5
timwi	5
wowus	5
zellfaze	5
aceat64	4
aethersurfer	4
alamtr	4
amiryal	4
anddam	4
apoelstra	4
ayanes	4
barmstrong	4
bondbeau	4
bytemaster	4
cjastram	4
codcoyote	4
constantined	4
cryddit	4
dajohi	4
dserrano5	4
gjs278	4
grayleonard	4
guru777	4
gyver	4
hrobbins	4
itstooez	4
ius	4
jddebug	4
jeffwelling	4
jherrerob	4
jim618	4
johnmaguire2013	4
jwillerth	4
kroese	4
ktiedt	4
m0ray	4
macintosh264	4
mariosal	4
mcdee	4
medicinebottle	4
miniupnp	4
nanpanman	4
neilneyman	4
nelisky	4
nikileshsa	4
pandermusubi	4
pasky	4
phorensic	4
postfan	4
randomproof	4
rm44377	4
rpiuoidfrgf	4
rpman	4
rudd-o	4
sassame	4
shahnah	4
shufps	4
sirk390	4
sje1	4
sjors	4
spiechu	4
ssokolow	4
stevenroose	4
thisisnotmyrealemail	4
timmerov	4
vegard	4
vhf	4
vikstrous	4
wizkid057	4
wlch	4
xcaninox	4
zootreeves	4
adavies42	3
adrelanos	3
aeyoun	3
ahf	3
anand4	3
asrael	3
bitaussie	3
bitsky	3
bozbo	3
bradfitz	3
btcex	3
casellas	3
centromere	3
copumpkin	3
corwin78	3
csyangchen	3
d33tah	3
darec	3
davh	3
djpnewton	3
dr-nix	3
dreamsorcerer	3
drharibo	3
extr0p	3
floe	3
frespa81	3
grawity	3
grbgout	3
grebulon	3
grubino	3
gutted	3
hank	3
henu	3
herodes-otc	3
idiotsabound	3
imzhuli	3
ircicq	3
jcalvinowens	3
joaocalistro	3
joe999	3
keverw	3
khorben	3
killerstorm	3
kjlawrence63	3
konstantinschubert	3
krzaq	3
kzaher	3
lukenshiro	3
lzsaver	3
macd0g	3
mad	3
mai77	3
makomk	3
matrixfrog	3
mdude77	3
mmazi	3
neofutur	3
nicolai-s	3
nixoid	3
njbartlett	3
nmarley	3
nomnombtc	3
nvmd	3
nyusan	3
oronnadiv	3
plasma	3
polyergic	3
pshep	3
ralphtheninja	3
ryanxcharles	3
schmollen	3
shanew	3
simeonpilgrim	3
skruger	3
sladien	3
slush0	3
soulhunter	3
soundasleep	3
stigeebus	3
swills	3
t-x	3
theinitiated	3
timsk	3
tindalos	3
tobypinder	3
tomboy-64	3
tripplet	3
tuxmaster5000	3
unknwntrr	3
vcaxx	3
viceroy	3
vrotaru	3
xeno-genesis	3
xerohour	3
xslidian	3
znort987	3
zyv	3
abrkn	2
ag346	2
alecweigt	2
ali1234	2
amcgregor	2
aviad	2
axet	2
azazar	2
benlake	2
bfcaplan	2
bitkevin	2
bittrader	2
bluecommand	2
bobalot	2
boltblit	2
borneq	2
brogult	2
brokewallet	2
btclove	2
c00w	2
captainknz	2
chickentech	2
clopez	2
cryonator	2
csrfdez	2
dabaopku	2
dacoinminster	2
dalrax	2
dan-da	2
darsie	2
deed02392	2
delirium--	2
devurandom	2
diegueins680	2
dizzyd	2
dlo	2
dooglio	2
dparrish	2
dustin	2
eeri	2
elis	2
elmom	2
ervwalter	2
eskimobob	2
fabianhjr	2
face	2
felipelalli	2
folko85	2
fryx	2
gandaro	2
gjschaller	2
glondu	2
gnonthgol	2
gongchengra	2
grahama	2
gronager	2
gstarnberger	2
gthiruva	2
halfawake	2
hdamakeit	2
heloorg	2
hilyin	2
hostfat	2
isnow	2
jandd	2
jbreher	2
jburkle	2
jessygirl	2
jhenninger	2
johnktaylor	2
jonassmedegaard	2
jspilman	2
jtobey	2
justinaiken	2
kanoi	2
katmagic	2
keo	2
kes777	2
khertan	2
kiaya	2
kiba	2
kiplingw	2
klaust	2
kwaaak	2
kwukduck	2
kybl	2
lawrence97431	2
leandrojf	2
lichtamberg	2
lioncash	2
lseror	2
lucb1e	2
m13253	2
maqifrnswa	2
matthewlm	2
maxime01	2
medoix	2
meighti	2
mhanne	2
millybitcoin	2
mrsam	2
mumblerit	2
n074v41l4bl34u	2
nextgenthemes	2
nikolajsheller	2
nilsja	2
nobled	2
nono2357	2
ntom	2
nvrbst	2
oddee	2
ojab	2
orb	2
oris	2
ovdeathiam	2
patrikr	2
paulproteus	2
petercooperjr	2
phants	2
picree	2
piotrnar	2
piratelinux	2
propertunist	2
psynbiotik	2
ptmhd	2
ptrckbrwn	2
raamdev	2
raarts	2
ram518	2
randallmunroe	2
realsolid	2
redshark1802	2
reverie	2
rishodi	2
rstarkov	2
runn1ng	2
ryannathans	2
ryepdx	2
sacarlson	2
saltmaster	2
samedifference	2
sander-kleykens	2
satoshiroulette	2
sdsdalr	2
semibiotic	2
shakaran	2
shesek	2
simon-liu	2
skinkworks	2
smola	2
soheil	2
soroush	2
sp1d3rx	2
speirs	2
starius	2
stephantual	2
stevebaker42	2
stevenph	2
teathsch	2
thedawnrider	2
theymos	2
trentzb	2
tstranex	2
ubuntupunk	2
ummon	2
vassilevsky	2
vector76	2
vuce	2
watchedman	2
weavejester	2
whatthef	2
whitslack	2
wizkoder	2
wolfnoliir	2
xvilka	2
zainmw91	2
zammy	2
aaronscientiae	1
abieganski	1
abrahamjewowich	1
agera-s	1
ahdinosaur	1
alanast	1
alanast1	1
alexheino	1
alexpennace	1
allaun	1
allnull	1
amarite1	1
andruby	1
antonio081014	1
apex-predator	1
aristidesfl	1
arnavion	1
arsenische	1
atum	1
avl42	1
awt	1
backburn	1
badger200	1
based2	1
bbot	1
benares	1
beoswind	1
bitbargain	1
bitcoineer	1
bitfag	1
bitnews	1
bitstocoins	1
bjmgeek	1
blackhawke	1
blackymetal	1
bonyofnebog	1
bruiselee	1
btcsharp	1
btcusr	1
burdges	1
buttcoin	1
c4colo	1
carlosjhr64	1
carvenli	1
celeduc	1
celil-kj	1
channeleddan	1
chemisist	1
chevdor	1
cinderblock	1
cisbye	1
ciyam	1
clanie	1
codeboost	1
comboy	1
commissar0617	1
comodore1	1
computerlyrik	1
copiamarket	1
coretechs	1
coryboy6	1
cosmarchy	1
countextreme	1
crazikpl	1
daedalus	1
daminvar	1
dannyhamilton	1
darkhelmet433	1
darrellduane	1
davclark	1
davidgriffith	1
davidljung	1
develop7	1
deweydb	1
diablo-d3	1
dikidera	1
dinox	1
dirkjan111	1
divakareddy	1
djspiewak	1
dlancer	1
dpkp	1
drwasho	1
dusoft	1
dwest-trulia	1
dyzz	1
eagleoneraptor	1
earthmelon	1
ebyrd	1
enigma	1
ephraimb	1
erundook	1
exarkun	1
ferrouswheel	1
fervent-dissent	1
fgeek	1
franklo	1
frenkel	1
fresh446	1
gateway	1
gdvine	1
geocoin	1
ghazzo	1
ghedipunk	1
globalcitizen	1
goblin	1
grant-olson	1
greggrossmeier	1
gubatron	1
gurcani	1
gusarov	1
gwern	1
handlex	1
hartrock	1
hasib145	1
hemlockii	1
herodes	1
hllhll	1
hongpong	1
hrabbach	1
hsoft	1
hughdavenport	1
huiju	1
ibnteo	1
idevk	1
iisword	1
intelliot	1
invious	1
isibboi	1
itsbert	1
j16sdiz	1
jafoal	1
jambolo	1
jegz	1
jemmons	1
jfisbein	1
jkaye2012	1
jmcorgan	1
jmdugan	1
johan	1
joho68	1
jonnylatte	1
josephagoss	1
josephholsten	1
joshtriplett	1
jothan	1
jowbob	1
kapcom01	1
karmaon	1
kartcl14	1
kasperhartwich	1
katuma	1
kiv	1
kobuderaroninshinobi	1
konieczkow	1
kumaresanc	1
kunstmusik	1
l337r007	1
lacshumina	1
larsig	1
larsr	1
lasermissle	1
laxris	1
lazyjay	1
leijurv	1
leo-bogert	1
leokury	1
lexx666	1
lismore	1
lovedazi005	1
lzrloveyou	1
makerofthings7	1
masasenshi	1
mazo	1
mburns	1
mcorlett	1
meonkeys	1
mizerydearia	1
mklarmann	1
mobiusl	1
monohydroxy	1
mrlei	1
mrmx	1
mutantmonkey	1
nacnemo	1
nadrimajstor	1
natanael90	1
nbelikov	1
nerdfightersean	1
netsmashers	1
nilamdoc	1
nitrowolf	1
nixxle	1
njloof	1
notbugger	1
nu11gravity	1
nwolf	1
nybble41	1
oleganza	1
olhovsky	1
ollummis	1
onlyjob	1
overquantum	1
p2paul	1
painlord2k	1
pakt	1
pasthelod	1
patcon	1
patrickb1991	1
paulgao	1
paulogeyer	1
pensan	1
pera	1
pheldens	1
pianist	1
pickerin	1
pjbrito	1
pochiraccoon	1
portals94	1
pose	1
prab	1
progranism	1
ptitfred	1
pzskc383	1
qiuness	1
r2p2	1
raize	1
randy-waterhouse	1
rarefied	1
rasos	1
raulo	1
revmischa	1
rnavarro	1
rodjacksonx	1
rooke	1
roquette	1
ryny24	1
sammey1995	1
sandmarq	1
sandos	1
scottie	1
sdlkfjdslkfj	1
serjster	1
sheldonth	1
shripadk	1
simonk83	1
simplecoin	1
sjuxax	1
skriticos	1
skvitek	1
slbug	1
snabb	1
somebadger	1
soundrazor	1
squeezle42	1
stevenh512	1
sztheory	1
szuetam	1
szymonpobiega	1
taras-kolodchyn	1
tariq786	1
tayl0r	1
tfoote	1
thebalaa	1
thebutterzone	1
thinkmonkeys	1
thisisgil	1
tiernolan	1
tijs14tijs	1
timmc	1
tmartinx	1
torusjkl	1
tranz5	1
trapp	1
triplespeeder	1
trupik	1
tschaboo	1
tyn2qggfyqwiebdj7aqnycikxtzpbzxl2zd6	1
tzicatl	1
udibr	1
ussjoin	1
veox	1
vindicatorr	1
virtualdestructor	1
vobornik	1
vragnaroda	1
wcoenen	1
wilhelmggw	1
witkamp	1
wiz3kid	1
woeisme	1
wolciph	1
writlarge	1
wyager	1
xelvet	1
xmj	1
zde	1
zechiel	1
zeldovich	1
zibalas	1
zw	1
